Case #,Year,Date,Country,State,Description,Deaths,Tesla driver,Tesla occupant,Other vehicle,Cyclists/Peds,TSLA+cycl/peds,Model,Autopilot claimed,Verified Tesla Autopilot Deaths,Verified Tesla Autopilot Deaths + All Deaths Reported to NHTSA SGO,Source,Note
71,2021,09/05/2021,Canada,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
72,2017,01/18/2017,Canada,-,Tesla crash,2,1,0,1,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
73,2019,05/14/2019,USA,NY,Tesla crash,3,0,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
74,2020,07/11/2020,China,-,Tesla crash,1,0,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
75,2021,06/18/2021,USA,NV,Tesla crash,1,0,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
76,2021,08/23/2021,USA,IL,Tesla crash,2,0,0,1,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
77,2019,08/04/2019,USA,NC,Tesla crash,1,0,1,0,1,1,Model Y,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
78,2021,10/23/2021,Canada,-,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
79,2019,10/03/2019,USA,NV,Tesla crash,1,0,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
80,2016,01/02/2016,USA,NY,Tesla crash,1,1,0,1,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
81,2018,10/28/2018,USA,WA,Tesla crash,1,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
82,2019,08/10/2019,Norway,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
83,2023,05/07/2023,Germany,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
84,2019,01/19/2019,China,-,Tesla crash,1,1,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
85,2023,05/22/2023,USA,PA,Tesla crash,1,0,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
86,2023,07/06/2023,USA,NC,Tesla crash,1,0,1,0,1,1,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
87,2016,05/24/2016,USA,OR,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
88,2018,09/12/2018,USA,IL,Tesla crash,3,1,0,0,0,0,Model X,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
89,2014,06/04/2014,USA,CA,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
90,2023,05/21/2023,USA,IL,Tesla crash,1,0,0,0,0,0,Model S,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
91,2019,06/22/2019,USA,FL,Tesla crash,1,1,0,0,1,1,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
92,2021,01/23/2021,USA,PA,Tesla crash,1,1,0,0,1,1,Model 3,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
93,2018,01/13/2018,USA,IL,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
94,2017,10/07/2017,USA,TX,Tesla crash,2,0,1,1,0,0,Model Y,Y,0,1,https://example.com/source,Synthetic sample record for demo purposes
95,2014,03/05/2014,Germany,-,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
96,2021,01/05/2021,USA,OR,Tesla crash,1,0,1,1,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
97,2019,10/02/2019,Mexico,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
98,2023,02/11/2023,Mexico,-,Tesla crash,1,0,1,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
99,2022,07/04/2022,USA,TX,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
100,2014,02/11/2014,Germany,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
101,2019,06/26/2019,USA,NC,Tesla crash,1,0,0,0,1,1,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
102,2015,12/02/2015,Germany,-,Tesla crash,1,0,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
103,2017,09/12/2017,Norway,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
104,2014,10/22/2014,USA,PA,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
105,2017,12/21/2017,USA,FL,Tesla crash,1,0,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
106,2013,10/03/2013,USA,MO,Tesla crash,1,1,0,0,0,0,Model 3,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
107,2013,04/25/2013,USA,FL,Tesla crash,1,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
108,2021,01/07/2021,USA,AZ,Tesla crash,1,1,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
109,2017,09/18/2017,USA,OR,Tesla crash,1,1,0,0,1,1,Model X,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
110,2023,11/14/2023,USA,TX,Tesla crash,1,0,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
111,2017,02/08/2017,USA,GA,Tesla crash,1,1,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
112,2019,11/04/2019,Netherlands,-,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
113,2021,03/25/2021,Mexico,-,Tesla crash,1,0,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
114,2023,10/11/2023,USA,FL,Tesla crash,3,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
115,2023,08/15/2023,USA,FL,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
116,2013,09/26/2013,USA,AZ,Tesla crash,2,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
117,2013,06/23/2013,Canada,-,Tesla crash,2,0,1,0,0,0,Model Y,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
118,2014,05/13/2014,Mexico,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
119,2019,11/20/2019,USA,NC,Tesla crash,1,0,0,1,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
120,2015,02/10/2015,USA,TX,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
121,2021,07/17/2021,USA,NC,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
122,2018,09/25/2018,USA,AZ,Tesla crash,1,0,0,0,0,0,Model Y,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
123,2021,03/24/2021,Mexico,-,Tesla crash,1,1,0,0,1,1,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
124,2020,08/27/2020,USA,GA,Tesla crash,1,0,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
125,2016,10/05/2016,USA,NC,Tesla crash,2,0,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
126,2017,08/17/2017,USA,NC,Tesla crash,1,1,0,0,0,0,Model 3,Y,1,1,https://example.com/source,Synthetic sample record for demo purposes
127,2015,02/12/2015,USA,TX,Tesla crash,2,1,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
128,2016,03/25/2016,USA,AZ,Tesla crash,2,0,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
129,2020,05/08/2020,Canada,-,Tesla crash,1,0,1,1,1,1,Model Y,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
130,2017,10/08/2017,USA,CA,Tesla crash,1,0,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
131,2015,09/18/2015,USA,GA,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
132,2021,02/12/2021,Mexico,-,Tesla crash,1,1,0,0,0,0,Model Y,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
133,2016,12/16/2016,USA,OR,Tesla crash,1,0,1,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
134,2023,05/17/2023,USA,OR,Tesla crash,1,0,0,1,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
135,2019,06/14/2019,Germany,-,Tesla crash,1,1,0,0,0,0,Model X,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
136,2019,02/24/2019,Canada,-,Tesla crash,2,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
137,2019,07/06/2019,USA,GA,Tesla crash,1,0,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
138,2020,11/13/2020,USA,IL,Tesla crash,1,0,0,0,0,0,Model Y,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
139,2018,06/12/2018,Mexico,-,Tesla crash,2,0,0,1,0,0,Model X,Y,1,1,https://example.com/source,Synthetic sample record for demo purposes
140,2019,06/21/2019,Netherlands,-,Tesla crash,1,1,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
141,2017,04/20/2017,USA,TX,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
142,2017,06/22/2017,China,-,Tesla crash,1,1,0,1,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
143,2018,02/07/2018,USA,OH,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
144,2015,07/23/2015,USA,OR,Tesla crash,1,1,0,0,0,0,Model Y,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
145,2020,03/27/2020,Mexico,-,Tesla crash,1,1,0,0,1,1,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
146,2021,12/08/2021,Netherlands,-,Tesla crash,1,0,0,0,1,1,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
147,2018,09/21/2018,Mexico,-,Tesla crash,2,0,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
148,2015,01/03/2015,Netherlands,-,Tesla crash,2,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
149,2013,11/10/2013,Netherlands,-,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
150,2020,06/20/2020,USA,OR,Tesla crash,2,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
151,2015,08/04/2015,USA,NV,Tesla crash,1,0,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
152,2017,03/27/2017,Canada,-,Tesla crash,1,1,0,1,0,0,Model 3,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
153,2018,02/13/2018,Netherlands,-,Tesla crash,1,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
154,2021,08/10/2021,Canada,-,Tesla crash,3,1,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
155,2021,06/18/2021,USA,NV,Tesla crash,1,1,0,1,0,0,Model 3,Y,1,1,https://example.com/source,Synthetic sample record for demo purposes
156,2017,06/18/2017,USA,GA,Tesla crash,1,0,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
157,2018,03/20/2018,USA,NY,Tesla crash,1,1,0,1,1,1,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
158,2021,09/18/2021,USA,AZ,Tesla crash,2,1,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
159,2020,12/21/2020,Netherlands,-,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
160,2013,11/24/2013,Norway,-,Tesla crash,1,0,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
161,2022,07/23/2022,USA,FL,Tesla crash,2,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
162,2016,11/16/2016,USA,OH,Tesla crash,1,0,0,0,1,1,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
163,2021,12/09/2021,USA,AZ,Tesla crash,3,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
164,2022,04/23/2022,China,-,Tesla crash,1,1,0,0,0,0,Model Y,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
165,2020,06/25/2020,USA,IL,Tesla crash,1,0,0,1,1,1,Model 3,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
166,2015,09/23/2015,USA,CA,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
167,2017,02/22/2017,USA,TX,Tesla crash,1,0,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
168,2015,05/11/2015,USA,OH,Tesla crash,3,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
169,2017,01/27/2017,USA,OR,Tesla crash,1,0,0,0,0,0,Model Y,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
170,2019,06/10/2019,China,-,Tesla crash,1,0,0,1,1,1,Model 3,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
171,2020,11/09/2020,Germany,-,Tesla crash,1,0,1,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
172,2015,07/17/2015,USA,MO,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
173,2018,05/11/2018,USA,GA,Tesla crash,1,1,0,1,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
174,2017,09/23/2017,Netherlands,-,Tesla crash,1,1,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
175,2017,07/23/2017,USA,NC,Tesla crash,2,1,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
176,2021,09/23/2021,China,-,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
177,2018,11/07/2018,USA,PA,Tesla crash,1,0,0,1,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
178,2022,08/22/2022,China,-,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
179,2017,01/03/2017,USA,GA,Tesla crash,1,1,0,1,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
180,2020,07/13/2020,USA,WA,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
181,2014,01/10/2014,Germany,-,Tesla crash,1,0,1,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
182,2020,02/02/2020,Germany,-,Tesla crash,1,1,0,1,0,0,Model S,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
183,2023,01/08/2023,USA,PA,Tesla crash,1,0,1,1,1,1,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
184,2013,12/19/2013,USA,IL,Tesla crash,1,1,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
185,2018,01/18/2018,Netherlands,-,Tesla crash,1,0,0,0,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
186,2022,07/05/2022,USA,NC,Tesla crash,1,0,1,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
187,2017,09/14/2017,USA,FL,Tesla crash,1,1,0,0,0,0,Model X,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
188,2019,09/24/2019,Germany,-,Tesla crash,1,1,0,1,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
189,2016,04/28/2016,USA,WA,Tesla crash,1,0,1,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
190,2018,12/07/2018,USA,CA,Tesla crash,1,1,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
191,2019,08/04/2019,USA,OH,Tesla crash,1,1,0,0,0,0,Model 3,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
192,2020,10/24/2020,USA,NY,Tesla crash,1,1,0,0,0,0,Model S,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
193,2019,08/24/2019,USA,FL,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
